real_part,real_value,imaginary_value
0.5,18.5896,0
0.6,13.8528,0
0.7,10.5117,0
0.8,8.13444,0
0.9,6.42673,0
1,5.18738,0
1.1,4.27802,0
1.2,3.60303,0
1.3,3.09591,0
1.4,2.71011,0
1.5,2.41287,0
1.6,2.18092,0
1.7,1.99761,0
1.8,1.85096,0
1.9,1.73222,0
2,1.63498,0
2.1,1.55451,0
2.2,1.48725,0
2.3,1.4305,0
2.4,1.38222,0
2.5,1.34083,0
2.6,1.30509,0
2.7,1.27403,0
2.8,1.24689,0
2.9,1.22305,0
3,1.20201,0
3.1,1.18335,0
3.2,1.16676,0
3.3,1.15193,0
3.4,1.13866,0
3.5,1.12673,0
3.6,1.11599,0
3.7,1.10629,0
3.8,1.09751,0
3.9,1.08955,0
4,1.08232,0
4.1,1.07575,0
4.2,1.06975,0
4.3,1.06428,0
4.4,1.05928,0
4.5,1.05471,0
4.6,1.05052,0
4.7,1.04667,0
4.8,1.04315,0
4.9,1.03991,0
5,1.03693,0
5.1,1.03419,0
5.2,1.03166,0
5.3,1.02933,0
5.4,1.02719,0
5.5,1.0252,0
5.6,1.02338,0
5.7,1.02169,0
5.8,1.02012,0
5.9,1.01868,0
6,1.01734,0
6.1,1.01611,0
6.2,1.01496,0
6.3,1.0139,0
6.4,1.01292,0
6.5,1.01201,0
6.6,1.01116,0
6.7,1.01038,0
6.8,1.00965,0
6.9,1.00898,0
7,1.00835,0
7.1,1.00777,0
7.2,1.00723,0
7.3,1.00673,0
7.4,1.00626,0
7.5,1.00583,0
7.6,1.00542,0
7.7,1.00505,0
7.8,1.0047,0
7.9,1.00438,0
8,1.00408,0
8.1,1.0038,0
8.2,1.00354,0
8.3,1.00329,0
8.4,1.00307,0
8.5,1.00286,0
8.6,1.00266,0
8.7,1.00248,0
8.8,1.00231,0
8.9,1.00216,0
9,1.00201,0
9.1,1.00187,0
9.2,1.00174,0
9.3,1.00163,0
9.4,1.00152,0
9.5,1.00141,0
9.6,1.00132,0
9.7,1.00123,0
9.8,1.00114,0
9.9,1.00107,0
10,1.00099,0
10.1,1.00093,0
10.2,1.00086,0
10.3,1.00081,0
10.4,1.00075,0
10.5,1.0007,0
10.6,1.00065,0
10.7,1.00061,0
10.8,1.00057,0
10.9,1.00053,0
11,1.00049,0
11.1,1.00046,0
11.2,1.00043,0
11.3,1.0004,0
11.4,1.00037,0
11.5,1.00035,0
11.6,1.00033,0
11.7,1.0003,0
11.8,1.00028,0
11.9,1.00026,0
12,1.00025,0
12.1,1.00023,0
12.2,1.00021,0
12.3,1.0002,0
12.4,1.00019,0
12.5,1.00017,0
12.6,1.00016,0
12.7,1.00015,0
12.8,1.00014,0
12.9,1.00013,0
13,1.00012,0
13.1,1.00011,0
13.2,1.00011,0
13.3,1.0001,0
13.4,1.00009,0
13.5,1.00009,0
13.6,1.00008,0
13.7,1.00008,0
13.8,1.00007,0
13.9,1.00007,0
14,1.00006,0
14.1,1.00006,0
14.2,1.00005,0
14.3,1.00005,0
14.4,1.00005,0
14.5,1.00004,0
14.6,1.00004,0
14.7,1.00004,0
14.8,1.00004,0
14.9,1.00003,0
15,1.00003,0
15.1,1.00003,0
15.2,1.00003,0
15.3,1.00002,0
15.4,1.00002,0
15.5,1.00002,0
15.6,1.00002,0
15.7,1.00002,0
15.8,1.00002,0
15.9,1.00002,0
16,1.00002,0
16.1,1.00001,0
16.2,1.00001,0
16.3,1.00001,0
16.4,1.00001,0
16.5,1.00001,0
16.6,1.00001,0
16.7,1.00001,0
16.8,1.00001,0
16.9,1.00001,0
17,1.00001,0
17.1,1.00001,0
17.2,1.00001,0
17.3,1.00001,0
17.4,1.00001,0
17.5,1.00001,0
17.6,1.00001,0
17.7,1,0
17.8,1,0
17.9,1,0
18,1,0
18.1,1,0
18.2,1,0
18.3,1,0
18.4,1,0
18.5,1,0
18.6,1,0
18.7,1,0
18.8,1,0
18.9,1,0
19,1,0
19.1,1,0
19.2,1,0
19.3,1,0
19.4,1,0
19.5,1,0
19.6,1,0
19.7,1,0
19.8,1,0
19.9,1,0
20,1,0
20.1,1,0
20.2,1,0
20.3,1,0
20.4,1,0
20.5,1,0
20.6,1,0
20.7,1,0
20.8,1,0
20.9,1,0
21,1,0
21.1,1,0
21.2,1,0
21.3,1,0
21.4,1,0
21.5,1,0
21.6,1,0
21.7,1,0
21.8,1,0
21.9,1,0
22,1,0
22.1,1,0
22.2,1,0
22.3,1,0
22.4,1,0
22.5,1,0
22.6,1,0
22.7,1,0
22.8,1,0
22.9,1,0
23,1,0
23.1,1,0
23.2,1,0
23.3,1,0
23.4,1,0
23.5,1,0
23.6,1,0
23.7,1,0
23.8,1,0
23.9,1,0
24,1,0
24.1,1,0
24.2,1,0
24.3,1,0
24.4,1,0
24.5,1,0
24.6,1,0
24.7,1,0
24.8,1,0
24.9,1,0
25,1,0
25.1,1,0
25.2,1,0
25.3,1,0
25.4,1,0
25.5,1,0
25.6,1,0
25.7,1,0
25.8,1,0
25.9,1,0
26,1,0
26.1,1,0
26.2,1,0
26.3,1,0
26.4,1,0
26.5,1,0
26.6,1,0
26.7,1,0
26.8,1,0
26.9,1,0
27,1,0
27.1,1,0
27.2,1,0
27.3,1,0
27.4,1,0
27.5,1,0
27.6,1,0
27.7,1,0
27.8,1,0
27.9,1,0
28,1,0
28.1,1,0
28.2,1,0
28.3,1,0
28.4,1,0
28.5,1,0
28.6,1,0
28.7,1,0
28.8,1,0
28.9,1,0
29,1,0
29.1,1,0
29.2,1,0
29.3,1,0
29.4,1,0
29.5,1,0
29.6,1,0
29.7,1,0
29.8,1,0
29.9,1,0
